Date,Price,Open,High,Low,Vol.,Change %
01-05-2024,"2,867.95","2,942.00","2,953.50","2,768.50",65.68M,-2.25%
01-04-2024,"2,934.00","2,984.95","2,988.00","2,883.00",109.75M,-1.27%
01-03-2024,"2,971.70","2,927.00","3,024.90","2,825.80",113.10M,1.71%
01-02-2024,"2,921.60","2,870.00","2,999.90","2,836.10",119.41M,2.62%
01-01-2024,"2,847.10","2,583.00","2,913.40","2,570.35",79.53M,10.14%
01-12-2023,"2,584.95","2,378.00","2,614.00","2,377.60",127.73M,8.73%
01-11-2023,"2,377.45","2,289.15","2,411.95","2,275.20",103.57M,3.91%
01-10-2023,"2,287.90","2,329.95","2,367.00","2,220.30",102.84M,-2.43%
01-09-2023,"2,345.00","2,406.55","2,483.00","2,325.00",158.52M,-2.58%
01-08-2023,"2,407.00","2,555.00","2,582.80","2,399.90",149.24M,-5.58%
01-07-2023,"2,549.25","2,322.35","2,630.95","2,319.90",198.42M,10.11%
01-06-2023,"2,315.27","2,251.63","2,345.91","2,225.16",103.25M,3.25%
01-05-2023,"2,242.32","2,211.73","2,303.87","2,190.71",100.87M,2.04%
01-04-2023,"2,197.47","2,128.93","2,201.51","2,095.84",96.84M,3.84%
01-03-2023,"2,116.26","2,128.02","2,201.19","1,979.13",160.62M,0.37%
01-02-2023,"2,108.55","2,160.66","2,236.78","2,081.72",141.09M,-1.33%
01-01-2023,"2,136.96","2,315.04","2,365.88","2,088.98",131.82M,-7.59%
01-12-2022,"2,312.50","2,489.17","2,501.15","2,262.61",91.31M,-6.74%
01-11-2022,"2,479.68","2,360.43","2,492.48","2,271.46",104.41M,7.13%
01-10-2022,"2,314.68","2,171.14","2,324.98","2,127.20",94.50M,7.23%
01-09-2022,"2,158.66","2,344.68","2,387.40","2,098.06",118.85M,-9.86%
01-08-2022,"2,394.89","2,287.03","2,430.25","2,276.55",108.55M,5.12%
01-07-2022,"2,278.23","2,337.65","2,353.17","2,147.09",197.01M,-3.32%
01-06-2022,"2,356.48","2,391.57","2,557.76","2,219.72",162.31M,-1.41%
01-05-2022,"2,390.07","2,507.51","2,547.00","2,151.63",186.33M,-5.65%
